Unnamed: 0,"Заработная плата, средняя по предприятию для профессии",Заработная плата вкакансии,"Текучесть, %","Отставание, %"
"('Сарапул', 'ПЧ Сарапул', 'Монтёры пути')",49091,57000.0,15.1,-13.87543859649123
"('Сарапул', 'ЭЧ Ижевск', 'Электромеханики (всех наименований)')",60650,73790.0,13.9,-17.8072909608348
"('Селивановский р-н, Красная Горбатка', 'Муромский ДЦС', 'Дежурные по станциям')",51331,63125.0,60.2,-18.68356435643565
"('Сергач', 'Муромский ДЦС', 'Дежурные по станциям')",65592,83000.0,8.1,-20.97349397590362
"('Сергач', 'ПЧ Сергач', 'Монтёры пути')",43568,47900.0,16.3,-9.04384133611691
"('Сергач', 'ТЧэ Муром', 'Машинисты локомотивов')",89009,100000.0,0.0,-10.991
"('Слободской р-н, ст. Белка-Слободская', 'Кировский ДЦС', 'Дежурные по станциям')",71704,97325.0,16.6,-26.3251990752633
"('Судогодский р-н, ст. Нерудная', 'Муромский ДЦС', 'Составитель поездов')",49624,58500.0,20.4,-15.17264957264957
"('Тоншаевский', 'ПЧ Котельнич', 'Монтёры пути')",44828,54285.71428571428,4.8,-17.42210526315789
"('Урмарский р-н', 'ПЧ Юдино', 'Монтёры пути')",45894,52000.0,13.6,-11.74230769230769
"('Урмарский р-н', 'ЭЧ Юдино', 'Электромеханики (всех наименований)')",60493,81543.0,41.7,-25.81460088542242
"('Фаленский р-н', 'ПЧ Глазов', 'Монтёры пути')",47462,58375.0,21.1,-18.69464668094218
"('Фаленский р-н', 'ЭЧ Зуевка', 'Электромеханики (всех наименований)')",67476,86516.66666666667,47.0,-22.00809092660374
"('Цивильский р-н, Малое Янгорчино', 'Казанский ДЦС', 'Дежурные по станциям')",49018,65500.0,0.0,-25.16335877862596
"('Чебоксары', 'ИЧ Канаш', 'Электромеханики СЦБ (включая старших)')",75805,95250.0,0.0,-20.41469816272966
"('Чернушка', 'Ижевский ДЦС', 'Составитель поездов')",60209,67408.33333333333,35.0,-10.68018296451971
"('Шатковский р-н', 'ПЧ Лукоянов', 'Монтёры пути')",43307,56150.0,46.5,-22.8726625111309
"('Шахунья', 'РЦС Нижний Новгород', 'Электромеханики')",55615,77500.0,10.6,-28.23870967741935
"('Шахунья', 'ШЧ Горький', 'Электромеханики СЦБ (включая старших)')",72549,86250.0,0.0,-15.88521739130435
"('Шахунья', 'ЭЧ Горький', 'Электромеханики (всех наименований)')",60934,86250.0,9.0,-29.35188405797102
"('Шумерля', 'ШЧ Арзамас', 'Электромеханики СЦБ (включая старших)')",82284,108333.3333333333,0.0,-24.04553846153846
"('Юрьянский', 'ИЧ Мураши', 'Монтёры пути')",50461,65650.0,8.1,-23.13632901751714
"('Юрьянский р-н, Медянка', 'Кировский ДЦС', 'Дежурные по станциям')",74290,103150.0,15.7,-27.97867183713039
"('Юрьянский р-н, ст. Юрья', 'Кировский ДЦС', 'Составитель поездов')",68492,85000.0,25.1,-19.42117647058824
"('Янаул', 'ВЧДэ Агрыз', 'Осмотрщики-ремонтники вагонов (включая старших)')",66037,74916.7,25.4,-11.85276447040513
"('Янаул', 'ПМС Янаул', 'Монтёры пути')",84853,92500.0,5.7,-8.267027027027027
"('Янаул', 'ПЧ Сарапул', 'Монтёры пути')",49761,62000.0,13.4,-19.74032258064516
"('Янаул', 'ШЧ Красноуфимск', 'Электромеханики СЦБ (включая старших)')",82031,105000.0,22.3,-21.8752380952381
"('Яр', 'Кировский ДЦС', 'Дежурные по станциям')",97773,104166.6666666667,21.4,-6.137920000000005
"('Яр', 'Кировский ДЦС', 'Составитель поездов')",73959,90455.0,31.5,-18.23669227792825
"('Ярский р-н', 'ПЧ Глазов', 'Монтёры пути')",48704,57875.0,15.4,-15.84622030237581
